key,text
name.Tower,哨塔
name.Blueprint_Builder,建造蓝图
name.Blueprint_Harvester,收割蓝图
name.Blueprint_Hunter,游猎蓝图
name.Blueprint_PlasmaCannon,电浆炮蓝图
name.Blueprint_Shepherd,牧羊蓝图
name.Blueprint_Tank,战车蓝图
name.DemonTech_Blood,恶魔血肉
name.DemonTech_Feudal,分封制
name.DemonTech_Fire,烈火
name.DemonTech_Greed,贪婪涌出
name.DemonTech_March,急行军
name.DemonTech_Rift,裂痕扩张
name.DemonTech_SoulFire,灵魂火
name.DemonTech_Spread,地狱扩散
name.NanoTech_AdvancedHarvester,先进采集器
name.NanoTech_CombatA,战斗A：要塞化
name.NanoTech_CombatB,战斗B：离子吐息
name.NanoTech_DefenseA,防御A：蜂巢装甲
name.NanoTech_DefenseB,防御B：镜面装甲
name.NanoTech_EconomyPhoto,高效光合
name.NanoTech_GeneralA,通用A：活性化
name.NanoTech_GeneralB,通用B：电子云
name.NanoTech_MobilityA,机动A：地毯生成
name.NanoTech_MobilityB,机动B：地毯疾行
name.TerranTech_AmmoRecovery,弹药回收
name.TerranTech_Buckshot,铅弹
name.TerranTech_Entrench,深埋工事
name.TerranTech_FastDeploy,快速展开
name.TerranTech_Gunpowder,火药除沙
name.TerranTech_Jammer,干扰弹
name.TerranTech_LongRange,长程飞弹
name.TerranTech_Ray,毁灭射线
name.UnionTech_Casting,一体铸造
name.UnionTech_Optics,光学瞄具
name.UnionTech_RegenSteel,再生钢
name.UnionTech_Stim,兴奋剂
name.UnionTech_Streamline,流线型
name.WandererTech_AutoHarvest,采集自动化
name.WandererTech_DefBeam,针对防御:光束
name.WandererTech_DefEM,针对防御:电磁
name.WandererTech_DefKinetic,针对防御:动能
name.WandererTech_DefThermal,针对防御:热能
name.WandererTech_Leap,腾跃
name.WandererTech_Link,指挥链路
name.WandererTech_Pigeon,信鸽
name.ArtilleryCannon,自行火炮
name.BattleCruiserAA,对空炮组
name.BattleCruiserGun,对地炮组
name.BipedGan,双管炮
name.DemonDogBite,撕咬
name.DragonBreath,龙息
name.EngineerPunch,扳手
name.FighterMissile,空空飞弹
name.FlyerBolt,魔能箭
name.FortressGun,堡垒机炮
name.GuardPunch,重拳
name.HeavyAPCannon,穿甲弹
name.HeavyCannon,榴弹步枪
name.HellCityGun,地狱城炮
name.HellLordBlast,魔能爆
name.HpGun,速射枪
name.LiberatorBeam,天基光束
name.MagicBallShooter,魔法弹塔
name.ManaBolt,魔能弹
name.MarineRifle,电磁步枪
name.MissileVolley,导弹齐射
name.NanoAAMissile,防空飞弹
name.NanoBehemothFortressAA,要塞防空
name.NanoBehemothFortressGun,要塞火炮
name.NanoBehemothGun,随身机炮
name.NanoMachineGun,机炮
name.NanoSniperCannon,狙击炮
name.PlasmaArtillery,电浆炮
name.Rifle,步枪
name.RocketGun,火箭弹
name.ScvGun,SCV焊枪
name.TankCannon,战车炮
name.TitanSlam,巨锤
name.WandererHarvesterClaw,收割光束
name.WandererHunterBeam,光束
name.WandererPlasmaBeam,光束线
name.WandererShepherdBeam,牧羊光束
name.WandererTankGun,电磁炮
name.ArmorBuff,强化装甲
name.SlowBuff,减速
name.StimBuff,兴奋剂
chat.title,聊天
chat.input_hint,输入消息，回车发送（Esc 关闭）
chat.open_hint,按 T 打开聊天。Ctrl+中键在地图上打信号（联机时队友可见）；中键拖拽可平移视角
observer.check,旁观者模式（全图视野，不可操控，可看所有人资源）
observer.short,旁观者
observer.title,[旁观者] 全图视野 | 不可操控
lobby.group_prompt,选择队伍
lobby.group,队伍{0}
lobby.group_auto,自动
bot.add,添加机器人
bot.label,机器人{0}
bot.add_full,已达人数上限
bot.full,参战方已满（上限 {0}）：观战不受影响，可勾选"旁观者模式"
bot.limit,机器人数量已达上限（最多 6 个）
spectator.header,观战席位（{0}）
spectator.header_count,观战席位（{0} 人）
spectator.none,暂无观战者
spectator.seat,观战 {0}
spectator.seat_me,观战 {0}（我）
lobby.you,我
race.plant,植物
race.cave,洞穴族
name.PlantLeafDog,叶犬
name.PlantSpider,蜘蛛
name.PlantTreeGuard,大树守卫
name.PlantLifeTree,生命树
name.PlantBranchTree,分支生命树
name.PlantForestNode,森林节点
name.PlantLeafPit,落叶坑
name.PlantSproutNest,树苗巢
name.PlantFlowerField,花田
name.PlantNestFort,巢堡
name.PlantSunlightTurret,光合炮台
name.PlantLifeSpring,生命之泉
name.PlantTreeWall,树墙
name.PlantEarthCore,大地核心
name.PlantTech_Photo,光合效率
name.PlantTech_Spread,菌毯增殖
name.PlantTech_Fiber,纤维装甲
name.PlantTech_Ironwood1,铁木甲壳1
name.PlantTech_Ironwood2,铁木甲壳2
name.PlantTech_Omni,全能性
name.PlantTech_Leech,汲取
name.PlantTech_Web,粘液蛛网
name.PlantTech_Sunflower,向日葵
name.PlantTech_Fission,加速分裂
name.PlantTech_DivineBow,神力弓
name.PlantTech_VineTendon,藤曼肌腱
name.CaveWorker,工兵
name.CaveNestShooter,巢穴射手
name.CaveBreaker,突破者
name.CaveSage,智者
name.CaveScorpion,武装巨蝎
name.CaveSandworm,沙虫
name.CaveSandwormMid,沙虫中段
name.CaveSandwormTail,沙虫尾段
name.CaveMainNest,主巢
name.CaveTrainingGround,训练场
name.CaveDen,地穴
name.CaveExcavation,采掘场
name.CaveFungusField,真菌农田
name.CaveNest,巢穴
name.CaveAcademy,学院
name.CaveSeismograph,地动仪
name.CaveRanch,牧场
name.CaveOutpost,前哨
name.CaveCrustCracker,地壳裂解器
name.CaveWormholeCore,虫洞核心
name.CaveWormhole,虫洞
name.CaveSandwormPit,沙虫窟
name.CaveTech_FastMag,快速弹匣
name.CaveTech_Shield,盾牌
name.CaveTech_Feed,强化饲料
name.CaveTech_Fungus,真菌育种
name.CaveTech_Steel,精炼钢
name.CaveTech_Weapon,武器升级
name.CaveTech_Militia,民兵化
skill.CaveSandworm.1,潜地
skill.CaveSandworm.2,吞噬
action_state.auto_on,自动开
action_state.auto_off,自动关
action_state.burrowed,地下
action_state.surface,地表
action_state.deploying,架设中
action_state.deployed,已架设
action_state.packing,收起中
action_state.mobile,移动态
keybind_hint,"点右侧按键即可重新绑定；按 Esc 取消。带 * 表示已改过；显示""被 XX 占用""说明那个键同时绑了别的动作。"
keybind_click_to_change,点击后按下新按键（Esc 取消）
keybind_fixed,固定键位：面板技能槽按格子位置排布，不开放修改
keybind_conflict,被占用：
keybind_applied,已绑定
keybind_cancelled,已取消改键
keybind_waiting,请按下要绑定的按键…
reset_keys,恢复默认键位
reset_keys_done,已恢复默认键位，改动
reset_keys_none,键位本来就是默认值
keygroup_camera,镜头
keygroup_selection,选择与编队
keygroup_orders,单位指令
keygroup_match,对局与社交
keygroup_panel,面板技能槽（固定）
cam_up,镜头上移
cam_down,镜头下移
cam_left,镜头左移
cam_right,镜头右移
cam_center,镜头回中
select_all_army,全选作战单位
select_all_workers,全选工人
select_idle_workers,选中空闲工人
attack_move,攻击移动
stop,停止
hold,驻守
pause,暂停/继续
surrender,投降
chat,打开聊天
vote_rematch,发起重开投票（Ctrl+组合）
slot_1,技能槽 1
slot_2,技能槽 2
slot_3,技能槽 3
slot_4,技能槽 4
slot_5,技能槽 5
slot_6,技能槽 6
slot_7,技能槽 7
slot_8,技能槽 8
slot_9,技能槽 9
slot_10,技能槽 10
slot_11,技能槽 11
slot_12,技能槽 12
slot_13,技能槽 13
slot_14,技能槽 14
slot_15,技能槽 15
spectator.combatants,参战者
menu.tagline,七大种族 · 即时战略 · 自由对抗
observer.short,旁观者模式
hud.commands,指令 / COMMAND
hud.selection,单位详情 / INTEL
hud.production,生产队列 / QUEUE
match.menu,对局菜单
match.resume,继续游戏
match.pause,暂停对局
match.unpause,解除暂停
match.surrender,投降
match.return,返回主菜单
match.confirm,确认
match.surrender_confirm,确认投降？
match.return_confirm,退出当前对局？
match.online_pause,联机对局不支持本地暂停
race_slot_1,种族面板技能 1
race_slot_2,种族面板技能 2
race_slot_3,种族面板技能 3
race_slot_4,种族面板技能 4
race_slot_5,种族面板技能 5
race_slot_6,种族面板技能 6
race_slot_7,种族面板技能 7
race_slot_8,种族面板技能 8
keybind_secondary_hint,次要键位：左键点击设置，右键清除
keybind_cleared,已清除该绑定
